Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
312,It is a primary function of my job role,"6. 1,001-5,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,VA,Yes,Yes,Yes,36,36,Yes,,,Yes,Yes,12,12,Yes,12,12,Yes,Yes,10,12,No,,,,,,,10,12,Upon USCIS approval,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,bad9b6b7-d2cd-4b4d-b2a2-5dbc7103cafa,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,98,#REF!,#REF!,1
240,It is a primary function of my job role,2. 11-50,Business Support & Logistics,Business Support & Logistics,LA,Yes,Yes,Yes,4,6,Yes,2,6,Yes,Yes,3,6,Yes,3,6,Yes,Yes,4,6,Yes,Yes,3,6,Yes,3,6,3,6,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,3,6,100,100,Human Resources,Always,Yes,94fa515b-38e2-4858-90a2-8c890bf71800,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,53,#REF!,#REF!,1
238,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,"Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",CA,Yes,Yes,No,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover all costs for all dependent family members,No,,,,,Human Resources,Always,No,4830b36e-2059-47b1-b39e-ade7d49ab3b4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,24,#REF!,#REF!,1
250,It is a primary function of my job role,"8. 10,000+","Construction, Machinery and Homes","Construction, Machinery and Homes",TX,Yes,Yes,Yes,12,12,Yes,12,12,No,,,,,,,No,,,,Yes,Yes,12,12,Yes,12,12,6,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover some costs for dependent family members,Yes,12,12,100,100,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,e44604e6-2d4d-4488-9601-eebfadb379bb,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,47,#REF!,#REF!,1
214,It is a primary function of my job role,"5. 501-1,000",Nonprofit,Nonprofit,NY,No,Yes,No,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,No,None of the above,Some,Some,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover no costs for dependent family members,Yes,,,,,Human Resources,Never,Yes,d275c72c-5027-4ea0-a28f-58de659fe9b4,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,35,15,#REF!,#REF!,1
244,It is a primary function of my job role,3. 51-200,"Telecommunications, Technology, Internet & Electronics","Telecommunications, Technology, Internet & Electronics",CA,Yes,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,6,6,6,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,No,,,,,Human Resources,Always,Yes,9f7933af-3a15-4bd9-99a3-f0b63751d9e2,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,24,#REF!,#REF!,1
167,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,PA,Yes,Yes,No,,,Yes,6,6,Yes,No,,,Yes,6,6,Yes,Yes,6,6,No,,,,,,,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover all costs for all dependent family members,Yes,6,6,60,75,Human Resources,Always,Yes,8c5e8a4e-5435-49d1-9975-40cb6b91c8ed,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,98,#REF!,#REF!,1
99,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AL,Yes,Yes,Yes,6,6,No,,,No,,,,,,,No,,,,No,,,,,,,12,12,Upon USCIS issuance of receipt notice,I don't know,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,No,8b415239-0aee-42b9-a158-05ca36ebbbc9,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,98,#REF!,#REF!,1
254,It is a primary function of my job role,"5. 501-1,000",Finance & Financial Services,Finance & Financial Services,NJ,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,No,No,None of the above,I don't know,None,I don't know,I don't know,I don't know,No,,I don't know,No,,,,,I Don't Know,Never,No,83d577ad-155a-46a6-9433-c6a2f86efb9d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,8,24,#REF!,#REF!,1
64,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,Business Support & Logistics,AR,Yes,Yes,No,,,I don't know,,,Yes,Yes,7,12,I don't know,,,Yes,Yes,7,12,Yes,No,,,I don't know,,,6,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover some costs for dependent family members,Yes,7,12,7,5,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,No,d47f8ede-ec9c-4e8b-9a21-9fb8e7e0870a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,53,#REF!,#REF!,1
251,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Nonprofit,Nonprofit,PA,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,No,No,None of the above,All,All,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,None,No,,We cover no costs for dependent family members,Yes,12,12,100,100,Human Resources,Always,Yes,b9ea9118-08a8-4a3c-840d-c452d94d0270,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,15,#REF!,#REF!,1
208,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Manufacturing,Manufacturing,SC,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,I Don't Know,Never,No,44ff5c83-cbc3-47d5-a56b-0e73c259651c,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,5,37,#REF!,#REF!,1
184,It is a primary function of my job role,3. 51-200,Retail & Consumer Durables,Retail & Consumer Durables,AL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,6,6,Immediately upon USCIS receipt of application,No,No,None of the above,None,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover all costs for all dependent family members,Yes,9,12,45,50,Human Resources,Sometimes,No,ab3cb03d-bb57-4f5e-ba01-07894ca6d325,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,46,#REF!,#REF!,1
164,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Education,Education,FL,Yes,Yes,I don't know,,,Yes,,,Yes,I don't know,,,I don't know,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,I don't know,No,None of the above,I don't know,All,We cover some costs for dependent family members,I don't know,All,No,,We cover no costs for dependent family members,I don't know,,,,,Human Resources,Always,No,904848e6-567a-4383-bfcf-0dc2b432fdd1,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,61,46,#REF!,#REF!,1
214,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Finance & Financial Services,Finance & Financial Services,NC,Yes,Yes,No,,,Yes,3,6,Yes,Yes,4,6,Yes,4,6,Yes,No,,,Yes,Yes,3,6,Yes,3,6,1,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,All,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,7,12,70,75,Human Resources,Always,Yes,1469ed30-8301-44b5-994d-2920ab972d10,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,18,24,#REF!,#REF!,1
558,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,MN,No,Yes,Yes,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,784f4cdc-955b-48fe-aa95-6cefa0ab9864,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,98,#REF!,#REF!,1
148,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,HR,AZ,Yes,No,,,,,,,No,,,,,,,Yes,No,,,No,,,,,,,6,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,04089113-19b4-4676-8fb0-b33b774e123d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,53,#REF!,#REF!,1
101,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Manufacturing,Manufacturing,MO,Yes,Yes,Yes,24,24,Yes,12,12,Yes,I don't know,,,Yes,12,12,No,,,,No,,,,,,,12,12,Immediately upon USCIS receipt of application,I don't know,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,53846c8a-4ed6-4c66-9350-17bb4cbc4e15,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,11,37,#REF!,#REF!,1
98,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Education,Education,PA,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,36,36,Upon USCIS issuance of receipt notice,No,No,None of the above,I don't know,I don't know,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Sometimes,I don't know,525519b9-5aa5-4b79-9813-c2fdf9e83408,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,46,#REF!,#REF!,1
151,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Food & Beverages,Food & Beverages,MA,Yes,Yes,Yes,8,12,Yes,10,12,Yes,Yes,6,6,Yes,8,12,Yes,Yes,4,6,Yes,No,,,Yes,6,6,8,12,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover all costs for all dependent family members,Yes,8,12,10,5,Human Resources,Sometimes,Yes,322c5b08-aaea-47c8-810d-ad7e18e2011a,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,30,#REF!,#REF!,1
219,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TX,Yes,Yes,No,,,Yes,6,6,Yes,No,,,Yes,6,6,No,,,,Yes,Yes,6,6,Yes,6,6,12,12,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover no costs for dependent family members,Yes,7,12,12,5,Human Resources,Never,No,6d6f9d68-7f93-4c1b-a2f4-99ef922c5cf3,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,98,#REF!,#REF!,1
209,It is a primary function of my job role,3. 51-200,"Construction, Machinery and Homes","Construction, Machinery and Homes",GA,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,109d3fb6-c0cd-4762-bd67-2c5ea41ca1f6,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,47,#REF!,#REF!,1
386,It is a primary function of my job role,4. 201-500,Manufacturing,Manufacturing,OK,Yes,Yes,Yes,12,12,No,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,Yes,12,12,100,100,Human Resources,Always,Yes,5c262539-e74c-45be-bfda-aa6de9cd5ba6,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,37,#REF!,#REF!,1
230,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,PA,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,Yes,No,,,No,,,,,Immediately upon USCIS receipt of application,Yes,No,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover no costs for dependent family members,No,,,,,Human Resources,Never,No,1204334e-ad2a-4d34-826e-cf719df3f63e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,98,#REF!,#REF!,1
189,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Retail & Consumer Durables,Retail & Consumer Durables,NC,Yes,Yes,I don't know,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,I don't know,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,Yes,,,,,Human Resources,Always,Yes,467c39f3-9a94-47fb-9624-6df669e34139,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,18,46,#REF!,#REF!,1
235,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Automotive,Automotive,DE,No,Yes,No,,,Yes,8,12,Yes,No,,,No,,,Yes,No,,,No,,,,,,,10,12,Upon USCIS issuance of receipt notice,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,6b73c56e-ea19-4e17-95ea-b101c122b054,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,3,13,#REF!,#REF!,1
188,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Government,Government,MD,No,Yes,No,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,3,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,e13778af-95c3-41e1-bacd-93b8dcab07cb,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,20,#REF!,#REF!,1
231,It is a primary function of my job role,4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,CA,Yes,Yes,Yes,12,12,Yes,36,36,No,,,,,,,No,,,,No,,,,,,,30,36,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover all costs for all dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover all costs for all dependent family members,Yes,36,36,90,100,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,dd0b4ab6-c3ee-4fa9-a915-834298c7bd00,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,98,#REF!,#REF!,1
198,It is a primary function of my job role,4. 201-500,Food & Beverages,Food & Beverages,CA,Yes,Yes,Yes,6,6,Yes,5,6,Yes,Yes,5,6,Yes,6,6,Yes,Yes,5,6,Yes,Yes,5,6,Yes,5,6,3,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,2,6,75,75,Human Resources,Sometimes,Yes,e804bc82-2922-488c-81f5-44e2ff6f4223,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,30,#REF!,#REF!,1
260,It is a primary function of my job role,4. 201-500,Nonprofit,Nonprofit,TX,Yes,Yes,Yes,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,No,No,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,9b42a375-4bf4-4b22-b29f-71ee982a567f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,15,#REF!,#REF!,1
95,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Government,Government,GA,Yes,Yes,I don't know,,,I don't know,,,Yes,Yes,6,6,Yes,6,6,Yes,Yes,6,6,Yes,Yes,6,6,Yes,9,12,9,12,Immediately upon USCIS receipt of application,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover all costs for all dependent family members,No,,,,,Human Resources,Sometimes,Yes,d1915799-eac5-467e-9e73-8fb1aa27eadf,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,20,#REF!,#REF!,1
146,It is a primary function of my job role,4. 201-500,Agriculture,Agriculture,GA,No,Yes,I don't know,,,No,,,No,,,,,,,No,,,,No,,,,,,,6,6,Upon USCIS approval,I don't know,No,None of the above,None,None,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,I don't know,No,46943659-cda4-48dc-bb20-fdd70732d134,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,8,#REF!,#REF!,1
174,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Education,Training,UT,Yes,No,,,,,,,No,,,,,,,No,,,,Yes,I don't know,,,I don't know,,,,,Upon USCIS approval,I don't know,I don't know,None of the above,I don't know,None,We cover no costs for dependent family members,I don't know,None,I don't know,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Never,No,a8b1bde6-c313-496b-ad79-4088f8fdb059,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,3,46,#REF!,#REF!,1
203,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Government,Government,TX,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,I don't know,No,None of the above,None,None,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,No,7cee7c5d-d338-445d-8e6a-46fbfa5cb4e5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,20,#REF!,#REF!,1
508,"It is a part of my job role, and I collaborate with others as needed","7. 5,001-10,000",Retail & Consumer Durables,Retail & Consumer Durables,OK,Yes,Yes,No,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Immediately upon USCIS receipt of application,I don't know,Yes,None of the above,I don't know,I don't know,We cover no costs for dependent family members,I don't know,None,No,,We cover no costs for dependent family members,I don't know,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",I don't know,I don't know,3cda6102-f01d-40ed-878e-06be4a38ca5b,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,46,#REF!,#REF!,1
